Author,Date,Area,,,,
Halil Pasic ,Thu Feb 13 13:37:28 2020,100,,,,
Hamdan Igbaria ,Wed Feb 5 14:31:12 2020 ,200,,,,
Hamish Martin ,Tue Mar 10 10:16:18 2020,1300,,,,
Hangbin Liu ,Tue Mar 10 15:27:37 2020,800,,,,
Hanjun Guo ,Mon Feb 3 09:36:07 2020 ,800,,,,
Hannes Reinecke ,Mon Jan 13 14:26:09 2020,100,,,,
Hanno Zulla ,Tue Feb 18 12:39:31 2020,100,,,,
Hans de Goede ,Fri Mar 13 13:07:08 2020,100,,,,
Hans Verkuil ,Thu Jan 16 20:12:53 2020,-800,,,,
Hans Westgaard Ry ,Wed Jan 15 14:43:40 2020,200,,,,
Hans Wippel ,Tue Jan 21 01:04:46 2020,100,,,,
Hao Lee ,Thu Jan 30 22:15:19 2020,-800,,,,
Harald Freudenberger ,Fri Aug 30 16:17:47 2019,200,,,,
Hardik Gajjar ,Thu Feb 6 12:49:23 2020 ,100,,,,
Harigovindan P ,Thu Feb 6 14:42:01 2020 ,530,,,,
Harini Katakam ,Wed Feb 5 18:08:12 2020 ,530,,,,
Harry Pan ,Fri Dec 27 17:19:46 2019,800,,,,
Harry Wentland ,Tue Jan 21 16:29:54 2020,-500,,,,
Hauke Mehrtens ,Mon Mar 2 00:55:02 2020 ,100,,,,
Hawking Zhang ,Wed Mar 4 17:03:48 2020 ,800,,,,
Hayes Wang ,Wed Jan 22 16:02:13 2020,800,,,,
He Zhe ,Thu Jan 30 22:12:00 2020,-800,,,,
Heidi Fahim ,Tue Feb 18 14:19:16 2020,-800,,,,
Heikki Krogerus ,Wed Mar 11 16:00:06 2020,300,,,,
Heiko Stuebner ,Tue Jan 21 23:28:59 2020,100,,,,
Heiner Kallweit ,Thu Mar 12 22:25:20 2020,100,,,,
Helge Deller ,Mon Feb 3 22:31:22 2020 ,100,,,,
Herbert Xu ,Wed Jan 8 12:37:35 2020 ,800,,,,
Hersen Wu ,Thu Feb 13 10:42:25 2020,-500,,,,
Hewenliang ,Thu Jan 9 21:56:04 2020 ,-500,,,,
Hillf Danton ,Fri Jan 24 20:14:45 2020,-500,,,,
Hongbo Yao ,Sat Jan 18 02:53:10 2020,530,,,,
hor: Paulo Alcantara (SUSE) ,Wed Dec 4 17:38:03 2019 ,-300,,,,
Horatiu Vultur ,Mon Feb 17 09:31:33 2020,100,,,,
Horia Geant?? ,Fri Jan 17 16:35:13 2020,200,,,,
Hou Pengyang ,Tue Mar 3 21:48:18 2015 ,0,,,,
Hou Tao ,Tue Mar 3 16:45:01 2020 ,800,,,,
Hridya Valsaraju ,Sat Feb 1 17:46:23 2020 ,-800,,,,
Huaisheng Ye ,Mon Jan 13 23:03:31 2020,800,,,,
Huang Rui ,Fri Jan 10 11:40:36 2020,800,,,,
Huang Ying ,Thu Mar 5 22:28:29 2020 ,-800,,,,
Huazhong Tan ,Tue Jan 21 16:42:13 2020,800,,,,
Hugh Dickins ,Mon Feb 17 20:04:19 2020,-800,,,,
Hui Wang ,Wed Feb 19 13:23:06 2020,800,,,,
Huy Nguyen ,Mon Feb 3 16:32:18 2020 ,-600,,,,
Hyunki Koo ,Wed Dec 25 06:11:07 2019,900,,,,
Ian Abbott ,Tue Jan 14 18:25:32 2020,0,,,,
Ian Rogers ,Thu Mar 5 23:11:08 2020 ,-800,,,,
Icenowy Zheng ,Sat Feb 22 00:51:27 2020,800,,,,
Ido Schimmel ,Fri Feb 7 19:29:28 2020 ,200,,,,
Igor Druzhinin ,Tue Jan 14 14:43:19 2020,0,,,,
Igor Russkikh ,Fri Feb 14 18:44:52 2020,300,,,,
Ikjoon Jang ,Sat Jan 11 01:47:12 2020,800,,,,
Ilia Mirkin ,Fri Sep 6 00:13:59 2019 ,-400,,,,
Ilie Halip ,Wed Jan 15 13:32:42 2020,200,,,,
Ilya Dryomov ,Mon Feb 10 22:51:08 2020,100,,,,
Ingo Molnar ,Sat Mar 7 08:29:55 2020 ,100,,,,
Inki Dae ,Thu Dec 19 11:07:53 2019,900,,,,
Ioana Ciornei ,Wed Dec 4 16:29:50 2019 ,200,,,,
Ioanna Alifieraki ,Thu Feb 20 20:04:00 2020,-800,,,,
Ira Weiny ,Thu Jan 30 22:12:07 2020,-800,,,,
Isabel Zhang ,Mon Jan 27 10:57:16 2020,-500,,,,
Israel Rukshin ,Tue Feb 4 14:38:10 2020 ,200,,,,
Jacek Anaszewski ,Thu Dec 5 22:25:01 2019 ,100,,,,
Jack Mitchell ,Tue Jan 7 15:51:55 2020 ,0,,,,
Jack Morgenstein ,Wed Jan 15 10:50:50 2020,200,,,,
Jack Pham ,Thu Jan 30 19:10:36 2020,-800,,,,
Jack Yu ,Tue Mar 3 10:59:13 2020 ,800,,,,
Jack Zhang ,Wed Jan 15 17:03:31 2020,800,,,,
Jacob Keller ,Mon Mar 2 14:21:19 2020 ,-800,,,,
Jaegeuk Kim ,Wed Jan 8 15:10:02 2020 ,-800,,,,
Jagan Teki ,Tue Dec 31 12:25:08 2019,530,,,,
Jakub Kicinski ,Mon Mar 2 21:10:58 2020 ,-800,,,,
Jakub Sitnicki ,Thu Feb 6 12:16:52 2020 ,100,,,,
James Hughes ,Mon Jan 20 11:12:40 2020,0,,,,
James Jones ,Mon Dec 16 16:58:05 2019,-800,,,,
James Morris ,Thu Feb 6 10:08:34 2020 ,1100,,,,
James Morse ,Thu Feb 20 16:58:39 2020,0,,,,
James Zhu ,Fri Feb 7 08:11:00 2020 ,-500,,,,
Jan H. Sch??nherr ,Fri Jan 3 16:07:19 2020 ,100,,,,
Jan Kara ,Thu Feb 6 15:28:12 2020 ,100,,,,
Jani Nikula ,Tue Mar 10 11:16:41 2020,200,,,,
Jann Horn ,Thu Mar 12 21:36:53 2020,0,,,,
Janne Karhunen ,Wed Jan 15 17:42:30 2020,200,,,,
Janosch Frank ,Fri Jan 31 05:02:04 2020,-500,,,,
Jari Ruusu ,Sun Jan 12 15:00:53 2020,200,,,,
Jarkko Nikula ,Thu Feb 13 17:15:03 2020,200,,,,
Jarkko Sakkinen ,Tue Feb 4 14:16:27 2020 ,200,,,,
Jaroslav Kysela ,Wed Jan 22 20:07:52 2020,100,,,,
Jason A. Donenfeld ,Fri Feb 21 09:48:49 2020,100,,,,
Jason Baron ,Mon Feb 17 15:38:09 2020,-500,,,,
Jason Gunthorpe ,Fri Feb 21 15:20:26 2020,0,,,,
Javier Martinez Canillas ,Mon Feb 17 12:39:47 2020,100,,,,
Jay Dolan ,Thu Mar 5 06:05:04 2020 ,-800,,,,
Jayshri Pawar ,Fri Dec 13 06:25:42 2019,100,,,,
JC Kuo ,Mon Jan 13 14:00:46 2020,800,,,,
Jean Delvare ,Thu Feb 6 16:58:45 2020 ,100,,,,
Jean Pihet ,Wed Jan 15 11:07:00 2020,100,,,,
Jean-Baptiste Maneyrol ,Thu Jan 16 18:56:45 2020,100,,,,
Jean-Philippe Brucker ,Thu Feb 27 09:34:47 2020,100,,,,
Jeff Chang ,Thu Jan 16 13:46:37 2020,800,,,,
Jeff Layton ,Mon Jan 6 19:05:19 2020 ,-500,,,,
Jeff Mahoney ,Tue Feb 11 15:25:37 2020,800,,,,
Jeff Moyer ,Wed Feb 5 14:15:58 2020 ,-500,,,,
Jens Axboe ,Fri Mar 20 19:14:16 2020,-600,,,,
J¨¦r??me Pouiller ,Tue Mar 10 11:13:56 2020,100,,,,
Jeremy Cline ,Wed Feb 5 08:41:46 2020 ,-500,,,,
Jeremy Sowden ,Wed Jan 15 20:05:57 2020,0,,,,
Jernej Skrabec ,Thu Mar 5 00:25:09 2020 ,100,,,,
Jerome Brunet ,Fri Feb 21 13:11:46 2020,100,,,,
Jer¨®nimo Borque ,Thu Jan 9 12:23:34 2020 ,-300,,,,
Jerry (Fangzhi) Zuo ,Thu Dec 12 10:37:35 2019,-500,,,,
Jerry Lin ,Tue Jan 21 10:46:21 2020,800,,,,
Jerry Snitselaar ,Tue Jan 21 17:34:26 2020,-700,,,,
Jesper Dangaard Brouer ,Thu Jan 16 16:14:46 2020,100,,,,
Jessica Yu ,Wed Mar 11 18:01:20 2020,100,,,,
Jethro Beekman ,Wed Feb 12 16:43:41 2020,100,,,,
Jia-Ju Bai ,Thu Dec 19 11:20:23 2019,800,,,,
Jian Shen ,Thu Mar 12 15:11:06 2020,800,,,,
Jiang Lidong ,Wed Mar 4 09:49:29 2020 ,800,,,,
Jian-Hong Pan ,Tue Mar 17 16:28:09 2020,800,,,,
Jiaran Zhang ,Wed Jan 15 09:42:26 2020,800,,,,
Jiaxun Yang ,Mon Jan 13 18:15:01 2020,800,,,,
Jim Lin ,Mon Mar 2 22:21:35 2020 ,800,,,,
Jim Quinlan ,Mon Dec 16 12:01:10 2019,100,,,,
Jim Wright ,Thu Dec 5 17:24:11 2019 ,-600,,,,
jimyan ,Wed Jan 15 11:03:55 2020,800,,,,
Jin Yao ,Wed Jan 8 03:17:45 2020 ,800,,,,
Jing Lin ,Tue Jan 21 16:44:11 2020,-700,,,,
Jiri Benc ,Thu Feb 6 09:40:52 2020 ,100,,,,
Jiri Kosina ,Mon Jan 27 15:49:49 2020,100,,,,
Jiri Olsa ,Mon Feb 10 15:32:18 2020,100,,,,
Jiri Pirko ,Mon Jan 20 09:52:53 2020,200,,,,
Jiri Slaby ,Fri Feb 28 12:54:06 2020,100,,,,
Jiri Wiesner ,Sat Mar 7 13:31:57 2020 ,100,,,,
Jisheng Zhang ,Wed Dec 18 05:31:25 2019,0,,,,
Jiufei Xue ,Wed Nov 20 17:45:26 2019,800,,,,
Joakim Zhang ,Fri Jan 17 06:10:10 2020,0,,,,
Joe Perches ,Fri Feb 21 05:20:45 2020,-800,,,,
Joe Thornber ,Tue Jan 7 11:58:42 2020 ,0,,,,
Joel Fernandes ,Sun Sep 22 10:49:57 2019,-700,,,,
Joel Fernandes (Google) ,Fri Aug 30 12:36:33 2019,-400,,,,
Joel Stanley ,Tue Jan 21 15:29:57 2020,1100,,,,
Joerg Roedel ,Mon Feb 17 17:29:55 2020,100,,,,
Johan Hovold ,Mon Jan 13 10:38:57 2020,-800,,,,
Johan Jonker ,Thu Jan 16 16:22:30 2020,100,,,,
Johan Korsnes ,Fri Jan 17 13:08:36 2020,100,,,,
Johannes Berg ,Fri Jan 31 13:12:58 2020,200,,,,
Johannes Krude ,Wed Feb 12 20:32:27 2020,100,,,,
Johannes Thumshirn ,Tue Feb 25 22:03:33 2020,100,,,,
John Allen ,Thu Dec 19 14:17:59 2019,-600,,,,
John Bates ,Thu Feb 20 14:53:19 2020,-800,,,,
John Clements ,Fri Jan 17 12:18:00 2020,800,,,,
John Crispin ,Tue Dec 17 21:20:57 2019,100,,,,
John Fastabend ,Sat Jan 11 06:12:06 2020,0,,,,
John Garry ,Thu Mar 5 19:08:01 2020 ,800,,,,
John Hubbard ,Thu Jan 30 22:13:35 2020,-800,,,,
John Keeping ,Fri Jan 17 10:40:22 2020,0,,,,
John Sperbeck ,Thu Jan 23 15:51:44 2020,-800,,,,
John Stultz ,Tue Mar 3 16:32:28 2020 ,0,,,,
Jon Derrick ,Fri Jan 10 14:56:46 2020,-700,,,,
Jon Hunter ,Fri Jan 31 09:19:01 2020,0,,,,
Jon Maloy ,Thu Jan 23 10:09:39 2020,-500,,,,
Jonas Gorski ,Mon Mar 2 20:46:57 2020 ,100,,,,
Jonas Karlman ,Sun Jan 12 14:34:24 2020,100,,,,
Jonas Meurer ,Thu Jan 16 12:53:54 2020,100,,,,
Jonathan Corbet ,Wed Jan 22 16:05:43 2020,-700,,,,
Jonathan Kim ,Thu Feb 6 11:57:11 2020 ,-500,,,,
Jonathan Lemon ,Mon Feb 24 15:29:09 2020,-800,,,,
Jonathan Neusch??fer ,Thu Mar 5 17:05:16 2020 ,100,,,,
Jordan Crouse ,Wed Feb 5 13:48:17 2020 ,-700,,,,
Jordan Niethe ,Fri Dec 6 14:17:22 2019 ,1100,,,,
Jordy Ubink ,Wed Jan 15 17:46:18 2020,100,,,,
Jose Abreu ,Tue Jan 14 17:09:23 2020,100,,,,
Jos¨¦ Roberto de Souza ,Thu Feb 27 12:55:40 2020,-800,,,,
Josef Bacik ,Thu Feb 13 10:47:31 2020,-500,,,,
Joseph Gravenor ,Thu Dec 12 15:40:50 2019,-500,,,,
Joseph Greathouse ,Mon Jan 27 16:08:11 2020,-600,,,,
Joseph Kust ,Sun Nov 17 15:55:47 2019,-600,,,,
Josh Poimboeuf ,Mon Jan 20 12:14:09 2020,-600,,,,
Josh Triplett ,Fri Jan 10 18:25:13 2020,-800,,,,
Josip Pavic ,Fri Feb 21 12:26:19 2020,-500,,,,
Jouni Hogander ,Mon Jan 20 09:51:03 2020,200,,,,
Jouni Malinen ,Tue Jan 7 17:35:45 2020 ,200,,,,
Jozsef Kadlecsik ,Sat Feb 22 12:01:43 2020,100,,,,
Juergen Gross ,Thu Mar 5 16:51:29 2020 ,100,,,,
Jules Irenge ,Mon Jan 20 22:43:47 2020,0,,,,
Julia Lawall ,Wed Jan 1 08:43:24 2020 ,100,,,,
Julian Wiedmann ,Wed Mar 11 18:07:11 2020,100,,,,
Julien Masson ,Tue Jan 21 18:22:52 2020,100,,,,
Julien Thierry ,Thu Jan 9 16:02:59 2020 ,0,,,,
Juliet Kim ,Tue Mar 10 09:23:58 2020,-500,,,,
Julio Faracco ,Wed Dec 18 15:38:45 2019,-300,,,,
Jun Lei ,Wed Dec 18 14:40:56 2019,-500,,,,
Jun Li ,Mon Jan 20 06:43:19 2020,0,,,,
Junyong Sun ,Thu Jan 30 22:13:48 2020,-800,,,,
Jyri Sarha ,Wed Jan 8 10:30:07 2020 ,200,,,,
Kadlecsik J¨®zsef ,Sat Jan 25 20:39:25 2020,100,,,,
Kai Li ,Sat Jan 11 10:25:42 2020,800,,,,
Kai Vehmanen ,Fri Jan 24 15:36:22 2020,-600,,,,
Kai-Heng Feng ,Wed Feb 5 19:26:33 2020 ,800,,,,
Kaike Wan ,Mon Feb 10 08:10:40 2020,-500,,,,
Kailang Yang ,Mon Feb 10 16:30:26 2020,800,,,,
Kaitao Cheng ,Thu Jan 30 22:13:42 2020,-800,,,,
Kalle Valo ,Sun Jan 26 17:54:46 2020,200,,,,
Kalyan Thota ,Thu Jan 23 15:47:55 2020,530,,,,
Kamal Heib ,Wed Feb 5 13:05:30 2020 ,200,,,,
Kan Liang ,Tue Jan 21 11:01:25 2020,-800,,,,
Kars de Jong ,Sun Nov 24 20:52:25 2019,100,,,,
Karsten Graul ,Tue Mar 10 09:33:30 2020,100,,,,
kbuild test robot ,Thu Jan 30 15:44:49 2020,100,,,,
Kees Cook ,Mon Feb 10 02:04:17 2020,100,,,,
Keith Busch ,Thu Feb 20 00:59:36 2020,900,,,,
Keiya Nobuta ,Thu Jan 9 14:14:48 2020 ,900,,,,
Kelvin Cao ,Tue Jan 14 20:56:48 2020,-700,,,,
Kenneth Feng ,Thu Jan 9 15:01:41 2020 ,800,,,,
Kent Gibson ,Mon Jan 20 18:46:26 2020,800,,,,
Kent Gustavsson ,Sat Jan 4 19:19:29 2020 ,100,,,,
Kevin Hao ,Mon Jan 20 17:56:25 2020,800,,,,
Keyon Jie ,Mon Jan 13 14:56:38 2020,-600,,,,
Khouloud Touil ,Tue Jan 7 10:29:21 2020 ,100,,,,
Kim Phillips ,Tue Jan 21 11:12:31 2020,-600,,,,
Kirill A. Shutemov ,Thu Mar 5 22:28:32 2020 ,-800,,,,
Kishon Vijay Abraham I ,Tue Jan 28 12:11:47 2020,530,,,,
Konstantin Khlebnikov ,Fri Jan 31 19:08:59 2020,300,,,,
KP Singh ,Fri Jan 17 22:28:25 2020,100,,,,
Krish Sadhukhan ,Wed Jan 15 19:54:32 2020,-500,,,,
Krishnamraju Eraparaju ,Fri Feb 7 19:44:29 2020 ,530,,,,
Kristian Evensen ,Thu Jan 23 13:20:18 2020,100,,,,
Krzysztof Kozlowski ,Thu Nov 21 04:20:41 2019,100,,,,
Kunihiko Hayashi ,Wed Feb 12 19:55:34 2020,900,,,,
Kuninori Morimoto ,Fri Feb 28 10:48:35 2020,900,,,,
Kuniyuki Iwashima ,Sat Jan 25 10:41:02 2020,0,,,,
Kuppuswamy Sathyanarayanan ,Wed Jan 29 11:14:00 2020,-800,,,,
Lai Jiangshan ,Fri Nov 1 05:06:21 2019 ,-700,,,,
Lakshmi Ramasubramanian ,Wed Jan 22 17:32:06 2020,-800,,,,
Larry Finger ,Mon Feb 10 12:02:35 2020,-600,,,,
Lars M??llendorf ,Fri Dec 13 14:50:55 2019,100,,,,
Lars-Peter Clausen ,Thu Jan 16 15:29:01 2020,200,,,,
Laurentiu Tudor ,Tue Jan 14 11:00:25 2020,0,,,,
Lee Jones ,Fri Jan 24 07:33:25 2020,0,,,,
Len Brown ,Sat Mar 21 00:47:47 2020,-400,,,,
Leo Liu ,Tue Jan 7 15:47:26 2020 ,-500,,,,
Leo Yan ,Fri Jan 17 13:52:51 2020,800,,,,
Leon Romanovsky ,Thu Jan 16 13:00:32 2020,-400,,,,
Leonard Crestez ,Thu Feb 20 18:29:39 2020,200,,,,
Leonardo Bras ,Tue Nov 26 19:36:31 2019,-300,,,,
Lewis Huang ,Tue Jan 14 11:08:34 2020,800,,,,
Ley Foon Tan ,Thu Feb 27 04:20:14 2020,800,,,,
Li Guanglei ,Wed Dec 25 15:44:04 2019,800,,,,
Li RongQing ,Sun Feb 23 16:13:12 2020,800,,,,
Li Xinhai ,Thu Jan 30 22:13:45 2020,-800,,,,
Liang Chen ,Fri Jan 24 01:01:26 2020,800,,,,
lijiazi ,Mon Dec 16 19:12:32 2019,800,,,,
Lijun Ou ,Sat Jan 11 18:32:41 2020,800,,,,
Liming Sun ,Fri Dec 20 12:04:33 2019,-500,,,,
Linu Cherian ,Mon Jan 27 18:35:22 2020,530,,,,
Linus Torvalds ,Fri Feb 28 11:51:53 2020,-800,,,,
Linus Walleij ,Mon Mar 9 16:26:04 2020 ,100,,,,
Liu Song ,Fri Nov 29 22:33:52 2019,800,,,,
Logan Gunthorpe ,Thu Feb 20 13:29:53 2020,-700,,,,
Loic Poulain ,Fri Jan 10 09:58:04 2020,100,,,,
Lokesh Vutla ,Fri Nov 22 15:33:56 2019,530,,,,
Long Li ,Mon Jan 13 16:08:36 2020,-800,,,,
Lorenz Bauer ,Fri Feb 7 10:37:12 2020 ,0,,,,
Lorenzo Bianconi ,Fri Feb 7 11:29:51 2020 ,100,,,,
Lu Baolu ,Thu Jan 16 09:52:36 2020,800,,,,
Lu Shuaibing ,Mon Feb 3 17:34:46 2020 ,-800,,,,
luanshi ,Wed Feb 26 13:45:10 2020,800,,,,
Lubomir Rintel ,Sat Jan 18 10:40:31 2020,100,,,,
Luc Van Oostenryck ,Wed Dec 4 02:06:23 2019 ,100,,,,
Luca Ceresoli ,Thu Jan 30 22:11:30 2020,-800,,,,
Luca Coelho ,Fri Jan 31 15:45:25 2020,200,,,,
Luca Weiss ,Sun Feb 9 14:43:30 2020 ,-800,,,,
Lucas De Marchi ,Mon Feb 24 11:12:58 2020,-800,,,,
Lucas Stach ,Fri Jan 31 17:38:19 2020,-800,,,,
Lucas Tanure ,Sat Feb 29 17:30:07 2020,0,,,,
Luis Henriques ,Tue Sep 9 22:49:41 2014 ,100,,,,
Luiz Augusto von Dentz ,Wed Jan 15 13:02:21 2020,-800,,,,
Lukas Bulwahn ,Wed Mar 4 22:26:00 2020 ,100,,,,
Lukas Wunner ,Tue Feb 18 13:08:00 2020,100,,,,
Luo bin ,Thu Feb 27 06:34:44 2020,0,,,,
Luo Jiaxing ,Mon Jan 20 20:22:35 2020,800,,,,
Luuk Paulussen ,Fri Dec 6 12:16:59 2019 ,1300,,,,
Lyude Paul ,Fri Mar 6 18:46:21 2020 ,-500,,,,
Ma Jun ,Sun Feb 2 17:56:58 2020 ,800,,,,
Maarten Brock ,Mon Nov 25 18:45:31 2019,530,,,,
Maarten Lankhorst ,Wed Feb 12 14:08:59 2020,100,,,,
Maciej Fijalkowski ,Wed Feb 5 05:58:34 2020 ,100,,,,
Maciej S. Szmigiero ,Sat Dec 28 18:13:13 2019,100,,,,
Madalin Bucur ,Wed Mar 4 18:04:28 2020 ,200,,,,
Madhuparna Bhowmik ,Thu Jan 30 11:50:28 2020,530,,,,
Magnus Karlsson ,Mon Feb 10 16:27:12 2020,100,,,,
Mahesh Bandewar ,Mon Mar 9 15:57:07 2020 ,-700,,,,
Maital Hahn ,Thu Jan 16 08:33:53 2020,-600,,,,
MaJun ,Mon Jan 27 10:56:21 2020,800,,,,
Malcolm Priestley ,Tue Feb 4 19:34:02 2020 ,0,,,,
Manfred Spraul ,Mon Feb 3 17:34:42 2020 ,-800,,,,
Manish Chopra ,Wed Jan 22 01:43:38 2020,-800,,,,
Manish Narani ,Fri Aug 16 03:09:58 2019,-600,,,,
Manivannan Sadhasivam ,Tue Jan 14 14:13:48 2020,530,,,,
Mans Rullgard ,Wed Jan 15 07:25:24 2020,-600,,,,
Mansour Behabadi ,Wed Jan 29 17:26:31 2020,1100,,,,
Mao Han ,Fri Oct 11 10:56:55 2019,800,,,,
Maoguang Meng ,Mon Jan 13 04:52:02 2020,100,,,,
Maor Gottlieb ,Thu Feb 27 13:27:08 2020,200,,,,
Marc Zyngier ,Wed Mar 11 11:56:49 2020,0,,,,
Marcel Holtmann ,Sat Jan 25 09:19:51 2020,100,,,,
Marcel Ziswiler ,Tue Jan 7 09:14:02 2020 ,100,,,,
Marco Elver ,Thu Jan 16 19:55:29 2020,100,,,,
Marco Felsch ,Thu Jan 9 17:05:00 2020 ,-800,,,,
Marcos Paulo de Souza ,Mon Nov 25 21:58:51 2019,-300,,,,
Marek Beh¨²n ,Sat Feb 15 15:21:30 2020,100,,,,
Marek Marczykowski-G¨®recki ,Wed Jan 15 02:46:29 2020,100,,,,
Marek Szyprowski ,Mon Mar 9 12:02:14 2020 ,100,,,,
Marek Vasut ,Fri Dec 20 20:31:52 2019,900,,,,
Mario Kleiner ,Mon Mar 2 07:17:32 2020 ,100,,,,
Marios Pomonis ,Wed Dec 11 12:47:53 2019,-800,,,,
Mark Brown ,Mon Jan 27 17:24:38 2020,0,,,,
Mark Rutland ,Mon Feb 10 11:47:57 2020,0,,,,
Mark Tomlinson ,Wed Feb 12 10:24:55 2020,1300,,,,
Mark Zhang ,Thu Feb 27 14:51:11 2020,200,,,,
Markus Reichl ,Thu Jan 9 16:42:10 2020 ,100,,,,
Markus Theil ,Wed Jan 8 12:55:36 2020 ,100,,,,
Martijn Coenen ,Fri Dec 27 14:46:39 2019,100,,,,
Martin Blumenstingl ,Wed Jan 8 00:20:44 2020 ,100,,,,
Martin Fuzzey ,Wed Jan 29 14:40:06 2020,100,,,,
Martin KaFai Lau ,Tue Feb 11 09:59:10 2020,-800,,,,
Martin Kepplinger ,Mon Jan 13 11:11:40 2020,100,,,,
Martin Leung ,Mon Feb 24 14:07:23 2020,-500,,,,
Martin Schiller ,Tue Jan 21 07:00:34 2020,100,,,,
Martin Tsai ,Thu Dec 26 16:19:47 2019,800,,,,
Masahiro Yamada ,Mon Feb 3 17:37:45 2020 ,-800,,,,
Masami Hiramatsu ,Tue Feb 25 23:36:41 2020,900,,,,
Masami Ichikawa ,Thu Jan 16 22:12:36 2020,900,,,,
Masanari Iida ,Mon Mar 9 20:54:30 2020 ,900,,,,
Mat Martineau ,Fri Feb 14 14:14:29 2020,-800,,,,
Mateusz Nosek ,Sat Jan 18 18:11:43 2020,100,,,,
Matheus Castello ,Thu Dec 5 12:44:08 2019 ,-300,,,,
Mathias Kresin ,Thu Mar 5 19:22:45 2020 ,100,,,,
Mathias Nyman ,Tue Feb 11 17:01:58 2020,200,,,,
Mathieu Desnoyers ,Sat Aug 17 10:12:08 2019,-400,,,,
Matt Coffin ,Sat Jan 25 13:04:05 2020,-500,,,,
Matt Ranostay ,Fri Jan 3 17:29:08 2020 ,-800,,,,
Matt Roper ,Thu Feb 27 16:43:20 2020,-800,,,,
Matteo Croce ,Fri Feb 21 12:28:38 2020,100,,,,
Matthew Auld ,Thu Mar 5 20:35:34 2020 ,0,,,,
Matthew Garrett ,Fri Jan 3 12:39:50 2020 ,100,,,,
Matthew Wilcox (Oracle) ,Sun Jan 12 15:54:10 2020,-500,,,,
Matthias Brugger ,Tue Jan 14 16:01:50 2020,100,,,,
Matthias Fend ,Wed Jan 15 11:22:49 2020,100,,,,
Matthias Kaehlcke ,Wed Jan 8 13:40:32 2020 ,-800,,,,
Matthias Reichl ,Thu Feb 20 21:29:56 2020,100,,,,
Matthieu Baerts ,Sat Feb 15 15:45:56 2020,100,,,,
Matti Vaittinen ,Mon Jan 20 15:47:37 2020,200,,,,
Matwey V. Kornilov ,Mon Jan 6 16:09:08 2020 ,300,,,,
Mauro Carvalho Chehab ,Sun Feb 23 09:59:53 2020,100,,,,
Mauro Rossi ,Mon Feb 3 22:31:13 2020 ,100,,,,
Max Filippov ,Tue Feb 4 12:51:21 2020 ,-800,,,,
Max Gurtovoy ,Thu Feb 20 12:08:18 2020,200,,,,
Maxim Kiselev ,Wed Jan 15 10:38:11 2020,300,,,,
Maxim Mikityanskiy ,Fri Jan 24 19:15:35 2020,200,,,,
Maxime Ripard ,Mon Feb 10 11:04:17 2020,100,,,,
Md Fahad Iqbal Polash ,Fri Jan 17 07:39:18 2020,-800,,,,
Megha Dey ,Mon Mar 9 13:09:46 2020 ,-700,,,,
Meir Lichtinger ,Thu Dec 12 16:09:33 2019,200,,,,
Mel Gorman ,Thu Mar 5 22:28:26 2020 ,-800,,,,
Mert Dirik ,Thu Jan 16 14:11:25 2020,300,,,,
Miaohe Lin ,Sat Jan 4 16:56:49 2020 ,800,,,,
Micha?? Miros??aw ,Sun Mar 15 17:44:25 2020,100,,,,
Micha?? Winiarski ,Wed Feb 19 17:18:22 2020,100,,,,
Michael Auchter ,Tue Mar 10 15:58:40 2020,-500,,,,
Michael Bringmann ,Wed Jan 15 08:53:59 2020,-600,,,,
Michael Chan ,Sun Feb 2 02:41:38 2020 ,-500,,,,
Michael Ellerman ,Tue Mar 3 23:28:47 2020 ,1100,,,,
Michael Grzeschik ,Thu Jan 16 14:16:31 2020,100,,,,
Michael Guralnik ,Wed Feb 12 09:26:31 2020,200,,,,
Michael Petlan ,Tue Jan 14 11:42:36 2020,100,,,,
Michael S. Tsirkin ,Thu Feb 6 02:40:58 2020 ,-500,,,,
Michael Straube ,Thu Mar 12 10:36:52 2020,100,,,,
Michael Strauss ,Fri Dec 13 11:52:24 2019,-500,,,,
Michael Walle ,Tue Mar 3 18:42:59 2020 ,100,,,,
Michal Hocko ,Sat Mar 21 18:22:26 2020,-700,,,,
Michal Kalderon ,Mon Feb 17 13:37:18 2020,200,,,,
Michal Koutn?? ,Fri Jan 24 12:40:15 2020,100,,,,
Michal Kubecek ,Mon Feb 24 20:42:12 2020,100,,,,
Michal Rostecki ,Sun Feb 2 12:02:00 2020 ,100,,,,
Michal Simek ,Thu Jan 9 11:07:53 2020 ,530,,,,
Michal Swiatkowski ,Thu Feb 13 13:31:24 2020,-800,,,,
Michal Wajdeczko ,Fri Jan 10 22:27:23 2020,0,,,,
Miguel Ojeda ,Fri Mar 6 21:50:00 2020 ,100,,,,
Mika Westerberg ,Thu Jan 16 13:09:51 2020,200,,,,
Mike Christie ,Mon Nov 11 18:19:00 2019,-600,,,,
Mike Gilbert ,Wed Feb 26 14:33:59 2020,-500,,,,
Mike Jones ,Tue Jan 28 10:59:59 2020,-700,,,,
Mike Marciniszyn ,Mon Feb 10 08:10:33 2020,-500,,,,
Mike Rapoport ,Sun Nov 24 10:57:20 2019,200,,,,
Mike Snitzer ,Thu Feb 27 14:25:31 2020,-500,,,,
Mikhail Karpenko ,Thu Jan 9 16:17:55 2020 ,300,,,,
