作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数,能力指数,时区,,时区,时区内总和/总贡献度,时区内平均,时区内人数
Tomas Novotny ,2,2,0,0,2,0.93,100,,,,,
Tomas Paukrt ,1,1,0,0,1,0.465,100,,,,,
Tomasz Duszynski ,1,1,0,0,1,0.465,100,,,,,
Ulf Hansson ,15,3,2,1,15,6.9063,100,,,,,
Ulrich Weber ,2,2,0,0,2,0.93,100,,,,,
Ursula Braun ,3,3,0,0,3,1.395,100,,,,,
Vasily Gorbik ,4,1,1,1,4,2.3589,100,,,,,
Vincent Guittot ,4,2,0,0,4,1.6578,100,,,,,
Vincent Prince ,1,1,0,0,1,0.465,100,,,,,
Vincent Whitchurch ,2,1,0,0,2,0.8289,100,,,,,
Vincenzo Frascino ,14,4,0,0,14,5.499,100,,,,,
Vitaly Kuznetsov ,8,2,0,0,8,3.1134,100,,,,,
Vladis Dronov ,4,3,0,0,4,1.7589,100,,,,,
Will Deacon ,17,5,4,4,17,9.9006,100,,,,,
William Dauchy ,3,1,0,0,3,1.1928,100,,,,,
Wolfram Sang ,24,5,4,4,24,12.4479,100,,,,,
Yuti Amonkar ,1,1,0,0,1,0.465,100,,,,,
Aaro Koskinen ,2,2,0,0,2,0.93,200,,,,,
Adrian Hunter ,2,1,0,0,2,0.8289,200,,,,,
Aharon Landau ,1,1,0,0,1,0.465,200,,,,,
Alberto Mattea ,1,1,0,0,1,0.465,200,,,,,
Alex Marginean ,6,2,0,0,6,2.3856,200,,,,,
Alexander Shishkin ,4,4,0,0,4,1.86,200,,,,,
Alexandru Tachici ,4,2,0,0,4,1.6578,200,,,,,
Amir Goldstein ,10,4,0,0,10,4.0434,200,,,,,
Amit Cohen ,16,2,0,0,16,6.0246,200,,,,,
Artemy Kovalyov ,2,2,0,0,2,0.93,200,,,,,
Avihai Horon ,2,2,0,0,2,0.93,200,,,,,
Avraham Stern ,1,1,0,0,1,0.465,200,,,,,
Aya Levin ,4,3,0,0,4,1.7589,200,,,,,
Beniamin Bia ,4,2,0,0,4,1.6578,200,,,,,
Claudiu Beznea ,23,1,0,0,23,8.4708,200,,,,,
Daniel Golle ,1,1,0,0,1,0.465,200,,,,,
Danit Goldberg ,1,1,0,0,1,0.465,200,,,,,
David Sterba ,8,2,0,0,8,3.1134,200,,,,,
Dmytro Linkin ,2,2,0,0,2,0.93,200,,,,,
Dor Askayo ,1,1,0,0,1,0.465,200,,,,,
Dragos Tarcatu ,2,2,0,0,2,0.93,200,,,,,
Eli Cohen ,1,1,0,0,1,0.465,200,,,,,
Emmanuel Grumbach ,2,2,0,0,2,0.93,200,,,,,
Erez Shitrit ,3,3,0,0,3,1.395,200,,,,,
Eyal Birger ,1,1,0,0,1,0.465,200,,,,,
Fabian Frederick ,1,1,0,0,1,0.465,200,,,,,
Gal Pressman ,4,2,0,0,4,1.6578,200,,,,,
Georgi Djakov ,1,1,0,0,1,0.465,200,,,,,
Gilad Ben-Yossef ,8,2,0,0,8,3.1134,200,,,,,
Golan Ben Ami ,1,1,0,0,1,0.465,200,,,,,
Greg Kurz ,3,1,0,0,3,1.1928,200,,,,,
Grygorii Strashko ,9,2,0,0,9,3.4773,200,,,,,
Hadar Gat ,2,1,0,0,2,0.8289,200,,,,,
Hamdan Igbaria ,4,2,0,0,4,1.6578,200,,,,,
Hans Westgaard Ry ,3,1,0,0,3,1.1928,200,,,,,
Harald Freudenberger ,11,2,0,0,11,4.2051,200,,,,,
Horia Geant?? ,3,2,0,0,3,1.2939,200,,,,,
Ido Schimmel ,21,9,0,0,21,8.5518,200,,,,,
Ilie Halip ,1,1,0,0,1,0.465,200,,,,,
Ioana Ciornei ,1,1,0,0,1,0.465,200,,,,,
Israel Rukshin ,2,1,0,0,2,0.8289,200,,,,,
Jack Morgenstein ,1,1,0,0,1,0.465,200,,,,,
Jani Nikula ,8,3,5,5,8,7.2255,200,,,,,
Janne Karhunen ,1,1,0,0,1,0.465,200,,,,,
Jari Ruusu ,1,1,0,0,1,0.465,200,,,,,
Jarkko Nikula ,3,2,0,0,3,1.2939,200,,,,,
Jarkko Sakkinen ,1,1,0,0,1,0.465,200,,,,,
Jiri Pirko ,10,2,0,0,10,3.8412,200,,,,,
Johannes Berg ,9,3,0,0,9,3.5784,200,,,,,
Jouni Hogander ,1,1,0,0,1,0.465,200,,,,,
Jouni Malinen ,1,1,0,0,1,0.465,200,,,,,
Jyri Sarha ,1,1,0,0,1,0.465,200,,,,,
Kalle Valo ,3,1,3,3,3,3.5994,200,,,,,
Kamal Heib ,1,1,0,0,1,0.465,200,,,,,
Lars-Peter Clausen ,1,1,0,0,1,0.465,200,,,,,
Leonard Crestez ,7,7,0,0,7,3.255,200,,,,,
Luca Coelho ,1,1,0,0,1,0.465,200,,,,,
Madalin Bucur ,9,1,0,0,9,3.3762,200,,,,,
Maor Gottlieb ,3,3,0,0,3,1.395,200,,,,,
Mark Zhang ,2,2,0,0,2,0.93,200,,,,,
Mathias Nyman ,5,2,0,0,5,2.0217,200,,,,,
Matti Vaittinen ,11,2,0,0,11,4.2051,200,,,,,
Max Gurtovoy ,1,1,0,0,1,0.465,200,,,,,
Maxim Mikityanskiy ,2,1,0,0,2,0.8289,200,,,,,
Meir Lichtinger ,1,1,0,0,1,0.465,200,,,,,
Michael Guralnik ,8,3,0,0,8,3.2145,200,,,,,
Michal Kalderon ,14,2,0,0,14,5.2968,200,,,,,
Mika Westerberg ,31,5,0,0,31,11.7864,200,,,,,
Mike Rapoport ,3,1,0,0,3,1.1928,200,,,,,
Mohammed Gamal ,1,1,0,0,1,0.465,200,,,,,
Moni Shoua ,5,1,0,0,5,1.9206,200,,,,,
Mordechay Goodstein ,1,1,0,0,1,0.465,200,,,,,
Moshe Shemesh ,1,1,0,0,1,0.465,200,,,,,
Niko Kortstrom ,1,1,0,0,1,0.465,200,,,,,
Nikolay Aleksandrov ,14,3,0,0,14,5.3979,200,,,,,
Nikolay Borisov ,13,3,0,0,13,5.034,200,,,,,
Nuno Sá ,2,1,0,0,2,0.8289,200,,,,,
Oded Gabbay ,2,1,0,0,2,0.8289,200,,,,,
Ofir Drang ,1,1,0,0,1,0.465,200,,,,,
or: Peter Rosin ,2,1,0,0,2,0.8289,200,,,,,
Parav Pandit ,2,1,0,0,2,0.8289,200,,,,,
Paul Blakey ,14,5,0,0,14,5.6001,200,,,,,
Petr Machata ,17,4,0,0,17,6.5907,200,,,,,
Raed Salem ,2,2,0,0,2,0.93,200,,,,,
Razvan Stefanescu ,1,1,0,0,1,0.465,200,,,,,
Roger Quadros ,4,1,0,0,4,1.5567,200,,,,,
Sakari Ailus ,2,1,0,0,2,0.8289,200,,,,,
Sandeep Sheriker Mallikarjun ,1,1,0,0,1,0.465,200,,,,,
Sara Sharon ,1,1,0,0,1,0.465,200,,,,,
Sasha Neftin ,5,1,0,0,5,1.9206,200,,,,,
Sergey Zakharchenko ,1,1,0,0,1,0.465,200,,,,,
Shay Bar ,1,1,0,0,1,0.465,200,,,,,
Stanislav Lisovskiy ,1,1,0,0,1,0.465,200,,,,,
Stefan Mavrodiev ,1,1,0,0,1,0.465,200,,,,,
Stefan Popa ,1,1,0,0,1,0.465,200,,,,,
Steven Rostedt (VMware) ,26,11,0,0,26,10.5735,200,,,,,
Su Yue ,2,1,0,0,2,0.8289,200,,,,,
Tariq Toukan ,5,4,0,0,5,2.2239,200,,,,,
Tomas Winkler ,2,1,0,0,2,0.8289,200,,,,,
Tomer Maimon ,4,1,0,0,4,1.5567,200,,,,,
Tomi Valkeinen ,2,1,0,0,2,0.8289,200,,,,,
Tommi Rantala ,3,1,0,0,3,1.1928,200,,,,,
Uwe Kleine-K??nig ,10,2,0,0,10,3.8412,200,,,,,
Vignesh Raghavendra ,7,2,0,0,7,2.7495,200,,,,,
Ville Syrj??l?? ,5,3,0,0,5,2.1228,200,,,,,
Vitor Soares ,1,1,0,0,1,0.465,200,,,,,
Vlad Buslov ,3,1,0,0,3,1.1928,200,,,,,
Vladimir Oltean ,8,7,0,0,8,3.6189,200,,,,,
Wei Li ,4,1,0,0,4,1.5567,200,,,,,
Yevgeny Kliteynik ,1,1,0,0,1,0.465,200,,,,,
Yishai Hadas ,6,2,0,0,6,2.3856,200,,,,,
Yonatan Cohen ,1,1,0,0,1,0.465,200,,,,,
Zhu Yanjun ,1,1,0,0,1,0.465,200,,,,,
Alexander Lobakin ,10,4,0,0,10,4.0434,300,,,,,
Alexander Tsoy ,3,1,0,0,3,1.1928,300,,,,,
Cengiz Can ,3,3,0,0,3,1.395,300,,,,,
Dan Carpenter ,35,28,0,0,35,15.5673,300,,,,,
dan.carpenter@oracle.com ,1,1,0,0,1,0.465,300,,,,,
Dmitry Bezrukov ,1,1,0,0,1,0.465,300,,,,,
Dmitry Bogdanov ,3,3,0,0,3,1.395,300,,,,,
Dmitry Osipenko ,18,3,0,0,18,6.8535,300,,,,,
Dmitry Yakunin ,2,1,0,0,2,0.8289,300,,,,,
Egor Pomozov ,1,1,0,0,1,0.465,300,,,,,
Eran Ben Elisha ,3,1,0,0,3,1.1928,300,,,,,
Eugeniy Paltsev ,2,1,0,0,2,0.8289,300,,,,,
Heikki Krogerus ,3,2,0,0,3,1.2939,300,,,,,
Igor Russkikh ,1,1,0,0,1,0.465,300,,,,,
Konstantin Khlebnikov ,1,1,0,0,1,0.465,300,,,,,
Matwey V. Kornilov ,1,1,0,0,1,0.465,300,,,,,
Maxim Kiselev ,1,1,0,0,1,0.465,300,,,,,
Mert Dirik ,1,1,0,0,1,0.465,300,,,,,
Mikhail Karpenko ,1,1,0,0,1,0.465,300,,,,,
Mikhail Petrov ,1,1,0,0,1,0.465,300,,,,,
Nikita Danilov ,1,1,0,0,1,0.465,300,,,,,
Nikita Sobolev ,1,1,0,0,1,0.465,300,,,,,
Pavel Begunkov ,37,3,0,0,37,13.7676,300,,,,,
Pavel Belous ,3,2,0,0,3,1.2939,300,,,,,
Peter Mamonov ,1,1,0,0,1,0.465,300,,,,,
Peter Ujfalusi ,34,2,0,0,34,12.5748,300,,,,,
Roi Dayan ,1,1,0,0,1,0.465,300,,,,,
Sergey Korolev ,1,1,0,0,1,0.465,300,,,,,
Sergey Organov ,1,1,0,0,1,0.465,300,,,,,
Wambui Karuga ,3,1,0,0,3,1.1928,300,,,,,
Yauhen Kharuzhy ,3,1,0,0,3,1.1928,300,,,,,
Yurii Monakov ,2,2,0,0,2,0.93,300,,,,,
Christian Hewitt ,1,1,0,0,1,0.465,400,,,,,
Minas Harutyunyan ,3,3,0,0,3,1.395,400,,,,,
Akhil P Oommen ,1,1,0,0,1,0.465,530,,,,,
Akshu Agrawal ,2,2,0,0,2,0.93,530,,,,,
Amit Kucheria ,11,1,0,0,11,4.104,530,,,,,
Amol Grover ,8,2,0,0,8,3.1134,530,,,,,
Anand Lodnoor ,11,1,0,0,11,4.104,530,,,,,
Anup Patel ,5,2,0,0,5,2.0217,530,,,,,
Bhagavathi Perumal S ,2,1,0,0,2,0.8289,530,,,,,
Bharata B Rao ,2,2,0,0,2,0.93,530,,,,,
Brahadambal Srinivasan ,1,1,0,0,1,0.465,530,,,,,
Christina Jacob ,1,1,0,0,1,0.465,530,,,,,
Devulapally Shiva Krishna ,1,1,0,0,1,0.465,530,,,,,
Faiz Abbas ,11,5,0,0,11,4.5084,530,,,,,
Geetha sowjanya ,2,1,0,0,2,0.8289,530,,,,,
Govind Singh ,2,1,0,0,2,0.8289,530,,,,,
Harigovindan P ,2,1,0,0,2,0.8289,530,,,,,
Harini Katakam ,2,2,0,0,2,0.93,530,,,,,
Hongbo Yao ,5,4,0,0,5,2.2239,530,,,,,
Jagan Teki ,1,1,0,0,1,0.465,530,,,,,
Kalyan Thota ,1,1,0,0,1,0.465,530,,,,,
Kishon Vijay Abraham I ,5,2,0,0,5,2.0217,530,,,,,
Krishnamraju Eraparaju ,2,2,0,0,2,0.93,530,,,,,
Linu Cherian ,1,1,0,0,1,0.465,530,,,,,
Lokesh Vutla ,1,1,0,0,1,0.465,530,,,,,
Maarten Brock ,3,1,0,0,3,1.1928,530,,,,,
Madhuparna Bhowmik ,20,1,0,0,20,7.3791,530,,,,,
Manivannan Sadhasivam ,4,1,0,0,4,1.5567,530,,,,,
Michal Simek ,6,2,0,0,6,2.3856,530,,,,,
Mohan Kumar ,2,1,0,0,2,0.8289,530,,,,,
Mohit P. Tahiliani ,10,1,0,0,10,3.7401,530,,,,,
Nagarjuna Kristam ,1,1,0,0,1,0.465,530,,,,,
Naveen N. Rao ,1,1,0,0,1,0.465,530,,,,,
Nikhil Mahale ,1,1,0,0,1,0.465,530,,,,,
Pragat Pandya ,1,1,0,0,1,0.465,530,,,,,
Raag Jadav ,1,1,0,0,1,0.465,530,,,,,
Rahul Lakkireddy ,2,2,0,0,2,0.93,530,,,,,
Rakesh Pillai ,1,1,0,0,1,0.465,530,,,,,
Ravi Bangoria ,13,1,0,0,13,4.8318,530,,,,,
Ravi Kumar Siddojigari ,1,1,0,0,1,0.465,530,,,,,
Ravulapati Vishnu vardhan rao ,4,1,0,0,4,1.5567,530,,,,,
Rayagonda Kokatanur ,1,1,0,0,1,0.465,530,,,,,
Rijo Thomas ,5,2,0,0,5,2.0217,530,,,,,
Ritesh Harjani ,2,1,0,0,2,0.8289,530,,,,,
Rohit Maheshwari ,1,1,0,0,1,0.465,530,,,,,
Sachin agarwal ,2,1,0,0,2,0.8289,530,,,,,
Sahitya Tummala ,2,1,0,0,2,0.8289,530,,,,,
Sai Prakash Ranjan ,2,2,0,0,2,0.93,530,,,,,
Sameer Pujar ,1,1,0,0,1,0.465,530,,,,,
satya priya ,1,1,0,0,1,0.465,530,,,,,
Shirish S ,1,1,0,0,1,0.465,530,,,,,
Shubhrajyoti Datta ,5,1,0,0,5,1.9206,530,,,,,
Sibi Sankar ,4,1,0,0,4,1.5567,530,,,,,
Siddhesh Poyarekar ,1,1,0,0,1,0.465,530,,,,,
Srinivas Neeli ,1,1,0,0,1,0.465,530,,,,,
Sudheesh Mavila ,1,1,0,0,1,0.465,530,,,,,
Sunil Goutham ,13,1,0,0,13,4.8318,530,,,,,
Taniya Das ,2,2,0,0,2,0.93,530,,,,,
Topi Kuutela ,1,1,0,0,1,0.465,530,,,,,
Vaibhav Jain ,2,2,0,0,2,0.93,530,,,,,
Vandita Kulkarni ,1,1,0,0,1,0.465,530,,,,,
Veerabhadrarao Badiganti ,1,1,0,0,1,0.465,530,,,,,
Venkatesh Yadav Abbarapu ,1,1,0,0,1,0.465,530,,,,,
Vinay Kumar Yadav ,2,1,0,0,2,0.8289,530,,,,,
Vinod Koul ,3,2,2,2,3,2.8983,530,,,,,
Viresh Kumar ,2,2,0,0,2,0.93,530,,,,,
Vishal Kulkarni ,1,1,0,0,1,0.465,530,,,,,
Yuji Sasaki ,1,1,0,0,1,0.465,530,,,,,
Tuong Lien ,1,1,0,0,1,0.465,700,,,,,
Aaron Liu ,4,1,0,0,4,1.5567,800,,,,,
Anand Jain ,8,2,0,0,8,3.1134,800,,,,,
Anson Huang ,11,2,0,0,11,4.2051,800,,,,,
Axel Lin ,9,1,0,0,9,3.3762,800,,,,,
Baolin Wang ,7,1,0,0,7,2.6484,800,,,,,
Barret Rhoden ,2,1,0,0,2,0.8289,800,,,,,
Ben Chuang ,1,1,0,0,1,0.465,800,,,,,
Ben Dooks (Codethink) ,2,1,0,0,2,0.8289,800,,,,,
Bibby Hsieh ,6,2,0,0,6,2.3856,800,,,,,
Boqun Feng ,1,1,0,0,1,0.465,800,,,,,
Brandon Syu ,1,1,0,0,1,0.465,800,,,,,
Changbin Du ,4,1,0,0,4,1.5567,800,,,,,
changzhu ,1,1,0,0,1,0.465,800,,,,,
Chao Yu ,5,2,0,0,5,2.0217,800,,,,,
chen gong ,3,1,0,0,3,1.1928,800,,,,,
Chen Wandun ,5,5,0,0,5,2.325,800,,,,,
Chen Yu ,7,1,0,0,7,2.6484,800,,,,,
Chen Zhou ,16,3,0,0,16,6.1257,800,,,,,
Chengguang Xu ,7,2,0,0,7,2.7495,800,,,,,
chenqiwu ,2,1,0,0,2,0.8289,800,,,,,
Chen-Tsung Hsieh ,1,1,0,0,1,0.465,800,,,,,
Chin-Yen Lee ,8,2,0,0,8,3.1134,800,,,,,
Christoph Hellwig ,20,6,0,0,20,7.8846,800,,,,,
Chuhong Yuan ,5,2,0,0,5,2.0217,800,,,,,
Chunyan Zhang ,6,2,0,0,6,2.3856,800,,,,,
Clay Chang ,1,1,0,0,1,0.465,800,,,,,
Coly Li ,15,1,0,0,15,5.5596,800,,,,,
Daniel Drake ,1,1,0,0,1,0.465,800,,,,,
Dejin Zheng ,4,2,0,0,4,1.6578,800,,,,,
Dennis Li ,6,1,0,0,6,2.2845,800,,,,,
Dilip Kota ,1,1,0,0,1,0.465,800,,,,,
Dongdong Liu ,1,1,0,0,1,0.465,800,,,,,
Erin Lo ,2,1,0,0,2,0.8289,800,,,,,
Evan Quan ,5,2,0,0,5,2.0217,800,,,,,
Flora Cui ,1,1,0,0,1,0.465,800,,,,,
Fugang Duan ,1,1,0,0,1,0.465,800,,,,,
Gao Xiang ,3,2,0,0,3,1.2939,800,,,,,
Greentime Hu ,2,2,0,0,2,0.93,800,,,,,
Guangbin Huang ,2,2,0,0,2,0.93,800,,,,,
Guchun Chen ,4,1,0,0,4,1.5567,800,,,,,
Guo Ren ,18,1,0,0,18,6.6513,800,,,,,
Guojia Liao ,2,1,0,0,2,0.8289,800,,,,,
Guoju Fang ,1,1,0,0,1,0.465,800,,,,,
Guoyun Sun ,1,1,0,0,1,0.465,800,,,,,
Haiwei Li ,2,2,0,0,2,0.93,800,,,,,
Hangbin Liu ,10,6,0,0,10,4.2456,800,,,,,
Hanjun Guo ,3,1,0,0,3,1.1928,800,,,,,
Harry Pan ,3,1,0,0,3,1.1928,800,,,,,
Hawking Zhang ,8,1,0,0,8,3.0123,800,,,,,
Hayes Wang ,9,1,0,0,9,3.3762,800,,,,,
Herbert Xu ,2,2,1,1,2,1.7322,800,,,,,
Hou Tao ,3,2,0,0,3,1.2939,800,,,,,
Huaisheng Ye ,2,1,0,0,2,0.8289,800,,,,,
Huang Rui ,2,1,0,0,2,0.8289,800,,,,,
Huazhong Tan ,10,1,0,0,10,3.7401,800,,,,,
Hui Wang ,1,1,0,0,1,0.465,800,,,,,
Icenowy Zheng ,1,1,0,0,1,0.465,800,,,,,
Ikjoon Jang ,1,1,0,0,1,0.465,800,,,,,
Jack Yu ,4,1,0,0,4,1.5567,800,,,,,
Jack Zhang ,1,1,0,0,1,0.465,800,,,,,
JC Kuo ,1,1,0,0,1,0.465,800,,,,,
Jeff Chang ,1,1,0,0,1,0.465,800,,,,,
Jeff Mahoney ,2,2,0,0,2,0.93,800,,,,,
Jerry Lin ,1,1,0,0,1,0.465,800,,,,,
Jia-Ju Bai ,3,1,0,0,3,1.1928,800,,,,,
Jian Shen ,4,4,0,0,4,1.86,800,,,,,
Jiang Lidong ,1,1,0,0,1,0.465,800,,,,,
Jian-Hong Pan ,5,2,0,0,5,2.0217,800,,,,,
Jiaran Zhang ,1,1,0,0,1,0.465,800,,,,,
Jiaxun Yang ,6,1,0,0,6,2.2845,800,,,,,
Jim Lin ,1,1,0,0,1,0.465,800,,,,,
jimyan ,1,1,0,0,1,0.465,800,,,,,
Jin Yao ,1,1,0,0,1,0.465,800,,,,,
Jiufei Xue ,2,1,0,0,2,0.8289,800,,,,,
John Clements ,3,1,0,0,3,1.1928,800,,,,,
John Garry ,7,1,0,0,7,2.6484,800,,,,,
Kai Li ,1,1,0,0,1,0.465,800,,,,,
Kai-Heng Feng ,5,1,0,0,5,1.9206,800,,,,,
Kailang Yang ,5,2,0,0,5,2.0217,800,,,,,
Kenneth Feng ,1,1,0,0,1,0.465,800,,,,,
Kent Gibson ,1,1,0,0,1,0.465,800,,,,,
Kevin Hao ,7,2,0,0,7,2.7495,800,,,,,
Leo Yan ,2,1,0,0,2,0.8289,800,,,,,
Lewis Huang ,4,1,0,0,4,1.5567,800,,,,,
Ley Foon Tan ,2,2,0,0,2,0.93,800,,,,,
Li Guanglei ,1,1,0,0,1,0.465,800,,,,,
Li RongQing ,3,2,0,0,3,1.2939,800,,,,,
Liang Chen ,1,1,0,0,1,0.465,800,,,,,
lijiazi ,1,1,0,0,1,0.465,800,,,,,
Lijun Ou ,2,1,0,0,2,0.8289,800,,,,,
Liu Song ,2,1,0,0,2,0.8289,800,,,,,
Lu Baolu ,3,1,0,0,3,1.1928,800,,,,,
luanshi ,1,1,0,0,1,0.465,800,,,,,
Luo Jiaxing ,3,1,0,0,3,1.1928,800,,,,,
Ma Jun ,1,1,0,0,1,0.465,800,,,,,
MaJun ,1,1,0,0,1,0.465,800,,,,,
Mao Han ,1,1,0,0,1,0.465,800,,,,,
Martin Tsai ,1,1,0,0,1,0.465,800,,,,,
Miaohe Lin ,23,1,0,0,23,8.4708,800,,,,,
Ming Lei ,4,2,0,0,4,1.6578,800,,,,,
Monk Liu ,1,1,0,0,1,0.465,800,,,,,
Murphy Zhou ,3,1,0,0,3,1.1928,800,,,,,
Niu Xilei ,1,1,0,0,1,0.465,800,,,,,
Ong Boon Leong ,1,1,0,0,1,0.465,800,,,,,
"Ooi, Joyce ",1,1,0,0,1,0.465,800,,,,,
Orson Zhai ,2,1,0,0,2,0.8289,800,,,,,
Paul Hsieh ,2,1,0,0,2,0.8289,800,,,,,
Peng Hao ,1,1,0,0,1,0.465,800,,,,,
Peng Liu ,1,1,0,0,1,0.465,800,,,,,
Peng Wang ,1,1,0,0,1,0.465,800,,,,,
Pengcheng Yang ,1,1,0,0,1,0.465,800,,,,,
Peter Chen ,8,5,0,0,8,3.4167,800,,,,,
Pi-Hsun Shih ,1,1,0,0,1,0.465,800,,,,,
Pingfan Liu ,2,2,0,0,2,0.93,800,,,,,
Ping-Ke Shih ,2,1,0,0,2,0.8289,800,,,,,
Prike Liang ,2,1,0,0,2,0.8289,800,,,,,
Qianggui Song ,3,1,0,0,3,1.1928,800,,,,,
Qing Xu ,2,1,0,0,2,0.8289,800,,,,,
Qu Wenruo ,8,2,0,0,8,3.1134,800,,,,,
Quanyang Wang ,1,1,0,0,1,0.465,800,,,,,
Ramuthevar Vadivel Murugan ,3,1,0,0,3,1.1928,800,,,,,
Ran Wang ,1,1,0,0,1,0.465,800,,,,,
Ricky Wu ,1,1,0,0,1,0.465,800,,,,,
Rocky Liao ,4,1,0,0,4,1.5567,800,,,,,
Rui Feng ,1,1,0,0,1,0.465,800,,,,,
Scott Chen ,1,1,0,0,1,0.465,800,,,,,
Shannon Zhao ,1,1,0,0,1,0.465,800,,,,,
Shaokun Zhang ,2,2,0,0,2,0.93,800,,,,,
Shengjiu Wang ,3,2,0,0,3,1.2939,800,,,,,
Sherry Sun ,1,1,0,0,1,0.465,800,,,,,
Shuming Fan ,2,1,0,0,2,0.8289,800,,,,,
Stanley Chu ,8,1,0,0,8,3.0123,800,,,,,
Stanley.Yang ,1,1,0,0,1,0.465,800,,,,,
Su Yanjun ,1,1,0,0,1,0.465,800,,,,,
Sun Ke ,1,1,0,0,1,0.465,800,,,,,
SZ Lin (林上智) ,1,1,0,0,1,0.465,800,,,,,
"Tan, Tee Min ",2,2,0,0,2,0.93,800,,,,,
tangbin ,1,1,0,0,1,0.465,800,,,,,
Tian Tao ,1,1,0,0,1,0.465,800,,,,,
Tianci.Yin ,6,1,0,0,6,2.2845,800,,,,,
Tianjia Zhang ,2,2,0,0,2,0.93,800,,,,,
Tiecheng Zhou ,1,1,0,0,1,0.465,800,,,,,
Tiezhu Yang ,2,2,0,0,2,0.93,800,,,,,
Tina Zhang ,4,4,0,0,4,1.86,800,,,,,
Tony W Wang-oc ,4,1,0,0,4,1.5567,800,,,,,
Tzu-En Huang ,2,1,0,0,2,0.8289,800,,,,,
Tzung-Bi Shih ,6,3,0,0,6,2.4867,800,,,,,
"Verma, Aashish ",1,1,0,0,1,0.465,800,,,,,
Vincent Chen ,2,1,0,0,2,0.8289,800,,,,,
Voon Weifeng ,1,1,0,0,1,0.465,800,,,,,
Wang Hai ,1,1,0,0,1,0.465,800,,,,,
Wang Long ,1,1,0,0,1,0.465,800,,,,,
Wang Xuerui ,1,1,0,0,1,0.465,800,,,,,
wangyan ,4,1,0,0,4,1.5567,800,,,,,
Wanpeng Li ,6,2,0,0,6,2.3856,800,,,,,
Wayne Lin ,3,1,0,0,3,1.1928,800,,,,,
Wei Hu ,1,1,0,0,1,0.465,800,,,,,
Weihang Li ,1,1,0,0,1,0.465,800,,,,,
Wen Gong ,1,1,0,0,1,0.465,800,,,,,
Wen He ,2,1,0,0,2,0.8289,800,,,,,
Wen-chien Jesse Sung ,1,1,0,0,1,0.465,800,,,,,
wenxu ,2,2,0,0,2,0.93,800,,,,,
Xiang Chen ,2,1,0,0,2,0.8289,800,,,,,
Xiao Yang ,1,1,0,0,1,0.465,800,,,,,
Xiaochen Shen ,6,4,0,0,6,2.5878,800,,,,,
xiaofeng.yan ,1,1,0,0,1,0.465,800,,,,,
Xiaoguang Wang ,2,1,0,0,2,0.8289,800,,,,,
Xiaoyao Li ,1,1,0,0,1,0.465,800,,,,,
Xin Long ,1,1,0,0,1,0.465,800,,,,,
xinhui pan ,1,1,0,0,1,0.465,800,,,,,
Yangbo Lu ,7,2,0,0,7,2.7495,800,,,,,
yangerkun ,2,2,0,0,2,0.93,800,,,,,
Yan-Hsuan Chuang ,6,2,0,0,6,2.3856,800,,,,,
Yi Zhang ,1,1,0,0,1,0.465,800,,,,,
Yicong Yang ,1,1,0,0,1,0.465,800,,,,,
Yintian Tao ,1,1,0,0,1,0.465,800,,,,,
yong.liang ,5,1,0,0,5,1.9206,800,,,,,
Yonglong Liu ,4,4,0,0,4,1.86,800,,,,,
You-Sheng Yang ,1,1,0,0,1,0.465,800,,,,,
yu kuai ,4,3,0,0,4,1.7589,800,,,,,
Yue Hu ,1,1,0,0,1,0.465,800,,,,,
Yufeng Mo ,1,1,0,0,1,0.465,800,,,,,
Yu-Hsuan Hsu ,1,1,0,0,1,0.465,800,,,,,
Yunsheng Lin ,3,2,0,0,3,1.2939,800,,,,,
Zaibo Xu ,13,1,0,0,13,4.8318,800,,,,,
Zeng Tao ,1,1,0,0,1,0.465,800,,,,,
Zenghui Yu ,11,3,0,0,11,4.3062,800,,,,,
Zhang Xiaoxu ,5,4,0,0,5,2.2239,800,,,,,
zhangyi (F) ,6,3,0,0,6,2.4867,800,,,,,
Zheng Bin ,4,1,0,0,4,1.5567,800,,,,,
Zhengyuan Liu ,3,3,0,0,3,1.395,800,,,,,
zhenwei pi ,2,1,0,0,2,0.8289,800,,,,,
Zhenyu Wang ,1,1,0,0,1,0.465,800,,,,,
Zhenzhong Duan ,2,2,0,0,2,0.93,800,,,,,
Zhi Chen ,1,1,0,0,1,0.465,800,,,,,
Zhihao Cheng ,1,1,0,0,1,0.465,800,,,,,
Zhiqiang Liu ,2,1,0,0,2,0.8289,800,,,,,
Zhou Wang ,1,1,0,0,1,0.465,800,,,,,
Zhuang Yanying ,1,1,0,0,1,0.465,800,,,,,
Zong Li ,3,1,0,0,3,1.1928,800,,,,,
Zong-Zhe Yang ,1,1,0,0,1,0.465,800,,,,,
周琰杰 (Zhou Yanjie) ,3,1,0,0,3,1.1928,800,,,,,
Benjamin Poirier ,2,2,0,0,2,0.93,900,,,,,
Chanwoo Choi ,2,1,0,0,2,0.8289,900,,,,,
Damien Le Moal ,6,3,0,0,6,2.4867,900,,,,,
Hyunki Koo ,1,1,0,0,1,0.465,900,,,,,
Inki Dae ,1,1,0,0,1,0.465,900,,,,,
Keith Busch ,2,1,0,0,2,0.8289,900,,,,,
